文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),策略后平均 epoch 时间 (s)
Algorithm: cricket_logs_diff,,,
Cricket8GB.log,5250.43,7.97265625,0.5048311054706573
Cricket10GB.log,5865.06,7.970703125,0.5074443817138672
Cricket12GB.log,5865.06,7.970703125,0.5083964467048645
Cricket14GB.log,5865.06,7.970703125,0.5084370076656342
Cricket16GB.log,5865.06,7.970703125,0.5319844186306
Cricket18GB.log,5865.06,7.970703125,0.5083004534244537
Epilepsy1GB.log,,0.119140625,
Epilepsy2GB.log,,0.119140625,
Epilepsy4GB.log,,0.119140625,
Epilepsy8GB.log,,0.119140625,
Epilepsy12GB.log,,0.119140625,
Epilepsy16GB.log,,0.119140625,
Epilepsy20GB.log,,0.119140625,
FaceDetection1GB.log,757.29,0.921875,23.65201139450073
FaceDetection2GB.log,1873.81,2.1953125,20.9339859187603
FaceDetection3GB.log,1873.81,2.1953125,21.004881381988525
FaceDetection4GB.log,1873.81,2.1953125,20.977096438407894
FaceDetection5GB.log,1873.81,2.1953125,20.91128444671631
FaceDetection6GB.log,1873.81,2.1953125,21.186964452266693
Heartbeat1GB.log,1420.25,4.37890625,3.1454414427280426
Heartbeat2GB.log,2383.72,4.37890625,17.915275663137436
Heartbeat3GB.log,2479.09,4.37890625,2.668746650218964
Heartbeat4GB.log,3798.23,4.681640625,11.304854393005373
Heartbeat5GB.log,3679.57,4.681640625,2.5198907554149628
Heartbeat6GB.log,4407.42,5.61328125,2.324336975812912
Heartbeat7GB.log,4407.42,5.61328125,2.3727258145809174
Heartbeat8GB.log,4407.42,5.61328125,3.9546073377132416
Heartbeat12GB.log,4407.42,5.61328125,3.7505138516426086
Heartbeat16GB.log,4407.42,5.61328125,17.485237419605255
Heartbeat20GB.log,4407.42,5.61328125,10.357596844434738
PEMS-SF6GB.log,5689.13,10.1015625,9.560642778873444
PEMS-SF8GB.log,4990.45,9.498046875,9.519677728414536
PEMS-SF10GB.log,8057.31,10.099609375,9.064896941184998
PEMS-SF12GB.log,12227.04,13.78515625,8.3781798183918
PEMS-SF14GB.log,9824.62,10.1015625,8.684558600187302
PEMS-SF16GB.log,9824.62,10.1015625,8.824214607477188
PEMS-SF18GB.log,9824.62,10.1015625,9.035893142223358
PEMS-SF20GB.log,9824.62,10.1015625,9.05704203248024
,,,
Algorithm: cricket_logs_ga,,,
Cricket8GB.log,7761.06,9.474609375,0.4782988131046295
Cricket10GB.log,8785.81,10.67578125,0.4456574618816376
Cricket12GB.log,9799.86,12.361328125,0.443668007850647
Cricket14GB.log,10772.51,15.037109375,0.4114391505718231
Cricket16GB.log,10772.51,15.037109375,0.4128060638904571
Cricket18GB.log,10772.51,15.037109375,0.4349196255207062
Epilepsy1GB.log,,0.119140625,
Epilepsy2GB.log,,0.119140625,
Epilepsy4GB.log,,0.119140625,
Epilepsy8GB.log,,0.119140625,
Epilepsy12GB.log,,0.119140625,
Epilepsy16GB.log,,0.119140625,
Epilepsy20GB.log,,0.119140625,
FaceDetection1GB.log,979.57,1.171875,22.52443927526474
FaceDetection2GB.log,2295.82,2.53515625,20.71598246693611
FaceDetection3GB.log,2779.71,3.052734375,20.27681738138199
FaceDetection4GB.log,2779.71,3.052734375,33.52411204576492
FaceDetection5GB.log,2779.71,3.052734375,19.781603306531903
FaceDetection6GB.log,2779.71,3.052734375,19.09695068001747
Heartbeat1GB.log,1420.25,4.37890625,3.4858799278736115
Heartbeat2GB.log,1960.8,4.380859375,2.962754338979721
Heartbeat3GB.log,2867.48,4.681640625,2.528928309679032
Heartbeat4GB.log,3935.3,4.380859375,12.964827299118042
Heartbeat5GB.log,4885.87,5.416015625,2.335114538669586
Heartbeat6GB.log,5388.81,6.802734375,2.227001965045929
Heartbeat7GB.log,5939.77,7.408203125,2.155204951763153
Heartbeat8GB.log,6442.89,8.541015625,18.18835043907165
Heartbeat12GB.log,8544.94,9.251953125,2.3518855571746826
Heartbeat16GB.log,8544.94,9.251953125,2.3244745433330536
Heartbeat20GB.log,8544.94,9.251953125,2.428174823522568
PEMS-SF6GB.log,6014.4,9.498046875,10.137171447277067
PEMS-SF8GB.log,7468.79,9.89453125,8.850997537374496
PEMS-SF10GB.log,9770.26,12.17578125,8.572261363267899
PEMS-SF12GB.log,11714.88,13.3984375,8.239818543195724
PEMS-SF14GB.log,13604.48,15.400390625,8.08315885066986
PEMS-SF16GB.log,13987.52,17.57421875,7.730022877454758
PEMS-SF18GB.log,14978.84,19.259765625,7.598193377256393
PEMS-SF20GB.log,19578.38,21.0,8.302766650915146
,,,
Algorithm: cricket_logs_checkmate,,,
Cricket8GB.log,6434.87,8.794921875,0.4873483180999756
Cricket10GB.log,6805.63,9.228515625,0.4749573767185211
Cricket12GB.log,7544.87,11.619140625,0.4522841274738312
Cricket14GB.log,8390.04,12.62890625,0.4267982542514801
Cricket16GB.log,8856.45,14.12890625,0.417447030544281
Cricket18GB.log,9237.93,14.73046875,0.413536787033081
Epilepsy1GB.log,,0.119140625,
Epilepsy2GB.log,,0.119140625,
Epilepsy4GB.log,,0.119140625,
Epilepsy8GB.log,,0.119140625,
Epilepsy12GB.log,,0.119140625,
Epilepsy16GB.log,,0.119140625,
Epilepsy20GB.log,,0.119140625,
FaceDetection1GB.log,1533.12,1.845703125,18.410432875156403
FaceDetection2GB.log,2002.44,2.701171875,16.8362455368042
FaceDetection3GB.log,2780.89,3.107421875,15.138897001743317
FaceDetection4GB.log,2780.89,3.107421875,18.99441829323769
FaceDetection5GB.log,2780.89,3.107421875,20.066009432077408
FaceDetection6GB.log,2780.89,3.107421875,19.586286902427677
Heartbeat1GB.log,,4.37890625,
Heartbeat2GB.log,,4.37890625,
Heartbeat3GB.log,3085.13,4.37890625,2.616358995437622
Heartbeat4GB.log,3947.98,4.6796875,2.8396506905555725
Heartbeat5GB.log,4376.74,5.478515625,2.437491238117218
Heartbeat6GB.log,4723.51,5.220703125,2.4140113592147827
Heartbeat7GB.log,5089.3,6.802734375,2.2898284792900085
Heartbeat8GB.log,5546.72,7.150390625,2.485440820455551
Heartbeat12GB.log,8544.94,9.251953125,2.3007946610450745
Heartbeat16GB.log,8544.94,9.251953125,2.3879484236240387
Heartbeat20GB.log,8544.94,9.251953125,2.452740281820297
PEMS-SF6GB.log,,9.49609375,
PEMS-SF8GB.log,9340.7,10.49609375,11.159513592720032
PEMS-SF10GB.log,11403.93,12.796875,8.679710477590561
PEMS-SF12GB.log,11612.35,15.126953125,12.92009139060974
PEMS-SF14GB.log,12383.7,15.28125,8.454950004816055
PEMS-SF16GB.log,13773.92,18.318359375,7.964022994041443
PEMS-SF18GB.log,14575.55,18.77734375,7.70402517914772
PEMS-SF20GB.log,15488.49,20.154296875,7.885614097118378
,,,
Algorithm: cricket_logs_monet,,,
Cricket8GB.log,6434.87,8.794921875,0.5045603811740875
Cricket10GB.log,6805.63,9.228515625,0.4782611131668091
Cricket12GB.log,7417.85,11.1015625,0.4687184393405914
Cricket14GB.log,8221.4,12.11328125,0.4375126957893371
Cricket16GB.log,9068.78,13.88671875,0.4104723632335663
Cricket18GB.log,9237.93,14.73046875,0.4093417823314667
Epilepsy1GB.log,,0.119140625,
Epilepsy2GB.log,,0.119140625,
Epilepsy4GB.log,,0.119140625,
