文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),策略后平均 epoch 时间 (s)
Cricket0.25GB.log,,1.029296875,
Cricket0.5GB.log,,1.029296875,
Cricket1GB.log,875.64,1.033203125,25.654468894004822
Cricket2GB.log,1313.36,1.875,18.752651125192642
Cricket4GB.log,1798.81,1.994140625,18.368892699480057
DuckDuckGeese0.5GB.log,,11.17578125,
DuckDuckGeese1GB.log,,11.17578125,
DuckDuckGeese2GB.log,,11.17578125,
DuckDuckGeese4GB.log,,11.17578125,
DuckDuckGeese8GB.log,,11.17578125,
DuckDuckGeese12GB.log,11799.48,14.46484375,28.501181572675705
DuckDuckGeese16GB.log,13768.83,16.763671875,25.40813758969307
DuckDuckGeese24GB.log,,11.17578125,
MotorImagery2GB.log,,15.2421875,
MotorImagery4GB.log,,15.2421875,
MotorImagery8GB.log,,15.2421875,
MotorImagery12GB.log,12318.1,18.4609375,161.4079833328724
MotorImagery16GB.log,14129.12,19.505859375,152.49358409643173
PEMS-SF1GB.log,,2.0546875,
PEMS-SF2GB.log,2267.94,2.755859375,40.391068905591965
PEMS-SF4GB.log,3430.35,4.333984375,36.43652492761612
PEMS-SF8GB.log,5036.82,5.814453125,32.21389555931091
PEMS-SF12GB.log,5036.82,5.814453125,32.37004375457764
PEMS-SF16GB.log,5036.82,5.814453125,39.75622487068176
