文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),策略后平均 epoch 时间 (s)
Cricket0.5GB.log,573.47,1.03125,2.9871989488601685
Cricket1GB.log,975.35,1.203125,2.813596785068512
Cricket1.5GB.log,1389.87,1.671875,2.6104883551597595
Cricket2GB.log,1662.44,1.94140625,2.488472640514374
Cricket2.5GB.log,1798.81,1.994140625,2.4857571721076965
Cricket3GB.log,1798.81,1.994140625,2.511627495288849
DuckDuckGeese10GB.log,8771.88,12.650390625,6.093497931957245
DuckDuckGeese12GB.log,12461.14,15.12109375,5.660546362400055
DuckDuckGeese14GB.log,13710.39,16.36328125,5.553248405456543
DuckDuckGeese16GB.log,15272.51,17.84375,5.4130047261714935
DuckDuckGeese18GB.log,16824.01,18.916015625,5.268452942371368
DuckDuckGeese20GB.log,18566.61,20.2578125,5.225329250097275
DuckDuckGeese22GB.log,20362.56,21.70703125,4.923036426305771
DuckDuckGeese24GB.log,,11.17578125,
MotorImagery10GB.log,9456.78,16.318359375,127.97845530509949
MotorImagery12GB.log,10524.91,17.390625,125.299997985363
MotorImagery14GB.log,11621.22,18.466796875,122.8814140856266
MotorImagery16GB.log,15355.05,21.271484375,120.74713063240051
MotorImagery18GB.log,16803.15,21.833984375,117.76657783985138
MotorImagery20GB.log,18530.18,22.939453125,113.63211154937744
MotorImagery22GB.log,18530.18,22.939453125,114.83728185296059
MotorImagery24GB.log,20445.21,22.96484375,110.57391157746315
PEMS-SF1GB.log,1594.16,2.20703125,13.005107015371323
PEMS-SF2GB.log,2027.12,2.990234375,12.456075698137283
PEMS-SF3GB.log,3055.84,3.9453125,11.83235478401184
PEMS-SF4GB.log,3799.18,4.5625,11.375938922166824
PEMS-SF5GB.log,5036.82,5.814453125,10.427535265684128
PEMS-SF6GB.log,5036.82,5.814453125,10.385274827480316
