文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),策略后平均 epoch 时间 (s)
Cricket0.5GB.log,,1.029296875,
Cricket1GB.log,875.64,1.033203125,3.3351254165172577
Cricket1.5GB.log,1050.74,1.630859375,3.100100100040436
Cricket2GB.log,1313.36,1.875,2.6440690457820892
Cricket2.5GB.log,1798.81,1.994140625,2.6139567494392395
Cricket3GB.log,1798.81,1.994140625,2.745221793651581
DuckDuckGeese10GB.log,11140.41,13.4375,5.906474858522415
DuckDuckGeese12GB.log,12286.98,14.45703125,5.751204282045364
DuckDuckGeese14GB.log,12918.04,15.833984375,5.6507450342178345
DuckDuckGeese16GB.log,13279.39,17.125,5.599589854478836
DuckDuckGeese18GB.log,14490.35,17.982421875,5.415148019790649
DuckDuckGeese20GB.log,15276.81,18.662109375,5.220198273658752
DuckDuckGeese22GB.log,16483.03,21.16015625,5.016389966011047
DuckDuckGeese24GB.log,17237.24,22.58984375,5.005942404270172
MotorImagery10GB.log,11189.37,17.390625,128.771555185318
MotorImagery12GB.log,13163.19,18.4609375,123.91329166293144
MotorImagery14GB.log,13275.47,17.388671875,122.78535202145576
MotorImagery16GB.log,14129.12,19.505859375,119.1329043507576
MotorImagery18GB.log,15224.54,21.375,118.78532665967941
MotorImagery20GB.log,15665.22,22.794921875,114.48003962635994
MotorImagery22GB.log,15782.91,20.427734375,111.74299117922783
MotorImagery24GB.log,16719.55,21.80859375,108.79492765665054
PEMS-SF1GB.log,,2.0546875,
PEMS-SF2GB.log,2457.83,3.015625,13.419141262769699
PEMS-SF3GB.log,3116.36,3.828125,12.352713942527771
PEMS-SF4GB.log,3433.02,4.53125,11.925169259309769
PEMS-SF5GB.log,4014.8,5.7578125,10.872217565774918
PEMS-SF6GB.log,5036.82,5.814453125,11.34133118391037
