文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),策略后平均 epoch 时间 (s)
Cricket0.5GB.log,414.14,1.03125,3.362565964460373
Cricket1GB.log,879.38,1.033203125,3.2556703984737396
Cricket1.5GB.log,1086.44,1.435546875,2.8665794730186462
Cricket2GB.log,1086.44,1.435546875,2.7969971001148224
Cricket2.5GB.log,1086.44,1.435546875,2.845131665468216
Cricket3GB.log,1086.44,1.435546875,2.952542006969452
DuckDuckGeese10GB.log,8148.18,12.66015625,5.989859223365784
DuckDuckGeese12GB.log,8547.08,11.912109375,5.92531430721283
DuckDuckGeese14GB.log,11886.08,18.04296875,5.5049086809158325
DuckDuckGeese16GB.log,11613.58,16.52734375,5.569592177867889
DuckDuckGeese18GB.log,11613.58,16.52734375,5.496051549911499
DuckDuckGeese20GB.log,11613.58,16.52734375,5.545836806297302
DuckDuckGeese22GB.log,11613.58,16.52734375,5.485030561685562
DuckDuckGeese24GB.log,11613.58,16.52734375,5.521927744150162
MotorImagery10GB.log,9002.51,16.31640625,130.8112914264202
MotorImagery12GB.log,10665.66,17.390625,124.1643336713314
MotorImagery14GB.log,13039.94,18.462890625,118.74962902069092
MotorImagery16GB.log,13339.66,19.505859375,119.08523553609848
MotorImagery18GB.log,14309.16,20.58203125,116.5114726126194
MotorImagery20GB.log,16501.82,23.322265625,110.59694775938988
MotorImagery22GB.log,16501.82,23.322265625,109.93127074837685
MotorImagery24GB.log,16501.82,23.322265625,111.78376549482346
PEMS-SF1GB.log,1043.85,2.0546875,13.64579102396965
PEMS-SF2GB.log,1619.06,2.6640625,13.13154223561287
PEMS-SF3GB.log,3077.16,4.189453125,11.516026139259338
PEMS-SF4GB.log,3077.16,4.189453125,11.682352721691132
PEMS-SF5GB.log,3077.16,4.189453125,11.68380719423294
PEMS-SF6GB.log,3077.16,4.189453125,11.65371236205101
