文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),策略后平均 epoch 时间 (s)
Cricket0.5GB.log,528.82,1.03125,3.2503664195537567
Cricket1GB.log,986.86,1.341796875,3.158971667289734
Cricket1.5GB.log,1546.37,1.8046875,2.926356077194214
Cricket2GB.log,1796.95,2.2421875,2.5457801818847656
Cricket2.5GB.log,1796.95,2.2421875,2.480744868516922
Cricket3GB.log,1796.95,2.2421875,2.880692422389984
DuckDuckGeese10GB.log,9717.35,13.396484375,5.805040597915649
DuckDuckGeese12GB.log,11610.0,14.681640625,5.479868143796921
DuckDuckGeese14GB.log,13647.23,14.90625,5.403042525053024
DuckDuckGeese16GB.log,14553.74,17.365234375,5.274396061897278
DuckDuckGeese18GB.log,15515.18,19.671875,5.131155401468277
DuckDuckGeese20GB.log,16609.08,21.248046875,4.833876371383667
DuckDuckGeese22GB.log,,11.17578125,
DuckDuckGeese24GB.log,,11.17578125,
MotorImagery10GB.log,9875.0,17.390625,126.87598586082458
MotorImagery12GB.log,11186.44,17.390625,121.8510417342186
MotorImagery14GB.log,13836.68,17.390625,117.40008583664894
MotorImagery16GB.log,15323.0,20.974609375,114.18127951025963
MotorImagery18GB.log,17008.65,22.12109375,111.09250888228416
MotorImagery20GB.log,17434.73,22.8359375,106.21897867321968
MotorImagery22GB.log,,15.2421875,
MotorImagery24GB.log,,15.2421875,
PEMS-SF1GB.log,1002.09,2.0546875,14.409533143043518
PEMS-SF2GB.log,2385.9,3.080078125,12.93354046344757
PEMS-SF3GB.log,3613.32,4.501953125,11.614606976509094
PEMS-SF4GB.log,3940.48,5.12890625,11.106459617614746
PEMS-SF5GB.log,5037.06,5.384765625,11.188268005847931
PEMS-SF6GB.log,5037.06,5.484375,11.059668183326721
