文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),策略后平均 epoch 时间 (s)
Cricket8GB.log,7761.06,9.474609375,0.4782988131046295
Cricket10GB.log,8785.81,10.67578125,0.4456574618816376
Cricket12GB.log,9799.86,12.361328125,0.443668007850647
Cricket14GB.log,10772.51,15.037109375,0.4114391505718231
Cricket16GB.log,10772.51,15.037109375,0.41280606389045715
Cricket18GB.log,10772.51,15.037109375,0.4349196255207062
Epilepsy1GB.log,,0.119140625,
Epilepsy2GB.log,,0.119140625,
Epilepsy4GB.log,,0.119140625,
Epilepsy8GB.log,,0.119140625,
Epilepsy12GB.log,,0.119140625,
Epilepsy16GB.log,,0.119140625,
Epilepsy20GB.log,,0.119140625,
FaceDetection1GB.log,979.57,1.171875,22.52443927526474
FaceDetection2GB.log,2295.82,2.53515625,20.71598246693611
FaceDetection3GB.log,2779.71,3.052734375,20.27681738138199
FaceDetection4GB.log,2779.71,3.052734375,33.52411204576492
FaceDetection5GB.log,2779.71,3.052734375,19.781603306531906
FaceDetection6GB.log,2779.71,3.052734375,19.09695068001747
Heartbeat1GB.log,1420.25,4.37890625,3.4858799278736115
Heartbeat2GB.log,1960.8,4.380859375,2.962754338979721
Heartbeat3GB.log,2867.48,4.681640625,2.5289283096790314
Heartbeat4GB.log,3935.3,4.380859375,12.964827299118042
Heartbeat5GB.log,4885.87,5.416015625,2.335114538669586
Heartbeat6GB.log,5388.81,6.802734375,2.227001965045929
Heartbeat7GB.log,5939.77,7.408203125,2.155204951763153
Heartbeat8GB.log,6442.89,8.541015625,18.188350439071655
Heartbeat12GB.log,8544.94,9.251953125,2.3518855571746826
Heartbeat16GB.log,8544.94,9.251953125,2.3244745433330536
Heartbeat20GB.log,8544.94,9.251953125,2.4281748235225677
PEMS-SF6GB.log,6014.4,9.498046875,10.137171447277069
PEMS-SF8GB.log,7468.79,9.89453125,8.850997537374496
PEMS-SF10GB.log,9770.26,12.17578125,8.572261363267899
PEMS-SF12GB.log,11714.88,13.3984375,8.239818543195724
PEMS-SF14GB.log,13604.48,15.400390625,8.08315885066986
PEMS-SF16GB.log,13987.52,17.57421875,7.730022877454758
PEMS-SF18GB.log,14978.84,19.259765625,7.598193377256393
PEMS-SF20GB.log,19578.38,21.0,8.302766650915146
