文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),max_memory_allocated,策略后平均 epoch 时间 (s)
DuckDuckGeesemimose_bs8_4GB.log,6003.53,11.15234375,5.861033916473389,5.7776864767074585
DuckDuckGeesemimose_bs8_5GB.log,6638.89,11.154296875,6.484217643737793,5.596333384513855
DuckDuckGeesemimose_bs8_6GB.log,7271.15,11.15234375,7.100232124328613,5.474437028169632
DuckDuckGeesemimose_bs8_7GB.log,7271.15,11.15234375,7.100232124328613,5.517322212457657
DuckDuckGeesemimose_bs8_8GB.log,7996.31,11.890625,8.025566577911377,5.498420715332031
DuckDuckGeesemimose_bs8_9GB.log,8750.1,12.638671875,9.498591899871826,5.3900929391384125
DuckDuckGeesemimose_bs8_10GB.log,8750.1,12.638671875,9.498591899871826,5.279841870069504
DuckDuckGeesemimose_bs8_11GB.log,11172.88,14.560546875,10.909970760345459,5.295729368925095
DuckDuckGeesemimose_bs8_12GB.log,12438.75,15.2109375,12.146519184112549,5.117548555135727
DuckDuckGeesemimose_bs8_13GB.log,12438.75,15.2109375,12.146519184112549,5.065377563238144
DuckDuckGeesemimose_bs8_14GB.log,13688.31,16.49609375,13.36784553527832,4.962009251117706
DuckDuckGeesemimose_bs8_15GB.log,13688.31,16.49609375,13.36784553527832,5.054353654384613
DuckDuckGeesemimose_bs8_16GB.log,15252.42,17.859375,14.892691612243652,4.896345674991608
DuckDuckGeesemimose_bs8_17GB.log,15252.42,17.859375,14.892691612243652,4.813984572887421
DuckDuckGeesemimose_bs8_18GB.log,16803.34,19.916015625,16.40806007385254,4.669247716665268
DuckDuckGeesemimose_bs8_19GB.log,16803.34,19.916015625,16.40806007385254,4.765573173761368
DuckDuckGeesemimose_bs8_20GB.log,18543.92,20.9921875,18.109519481658936,4.575796514749527
DuckDuckGeesemimose_bs8_21GB.log,18543.92,20.9921875,18.109519481658936,4.513662934303284
DuckDuckGeesemimose_bs8_22GB.log,20340.99,22.091796875,19.86456537246704,4.366199254989624
DuckDuckGeesemimose_bs8_23GB.log,20340.99,22.091796875,19.86456537246704,4.335415214300156
DuckDuckGeesemimose_bs8_24GB.log,,11.15234375,3.8658504486083984,
