文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),策略后平均 epoch 时间 (s)
Cricket0.25GB.log,,1.029296875,
Cricket0.5GB.log,,1.029296875,
Cricket1GB.log,828.67,1.033203125,44.0
Cricket2GB.log,1313.36,1.875,47.0
Cricket4GB.log,1798.81,1.994140625,49.0
DuckDuckGeese0.5GB.log,,11.17578125,
DuckDuckGeese12GB.log,12286.98,14.45703125,1.0
DuckDuckGeese16GB.log,13279.39,17.125,4.0
DuckDuckGeese1GB.log,,11.17578125,
DuckDuckGeese24GB.log,17237.24,22.58984375,8.0
DuckDuckGeese2GB.log,,11.17578125,
DuckDuckGeese4GB.log,,11.17578125,
DuckDuckGeese8GB.log,10178.19,11.912109375,57.0
MotorImagery12GB.log,13163.19,18.4609375,51.0
MotorImagery16GB.log,14129.12,19.505859375,16.0
MotorImagery2GB.log,,15.2421875,
MotorImagery4GB.log,,15.2421875,
MotorImagery8GB.log,,15.2421875,
PEMS-SF12GB.log,5036.82,5.814453125,36.0
PEMS-SF16GB.log,5036.82,5.814453125,40.0
PEMS-SF1GB.log,,2.0546875,
PEMS-SF2GB.log,2457.83,3.015625,22.0
PEMS-SF4GB.log,3482.98,4.87890625,27.0
PEMS-SF8GB.log,5036.82,5.814453125,31.0
