文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),max_memory_allocated,策略后平均 epoch 时间 (s)
Algorithm: cricket_logs_checkmate,,,,
DuckDuckGeesecheckmate_bs8_4GB.log,,11.15234375,3.8658504486083984,
DuckDuckGeesecheckmate_bs8_5GB.log,,11.15234375,3.8658504486083984,
DuckDuckGeesecheckmate_bs8_6GB.log,,11.15234375,3.8658504486083984,
DuckDuckGeesecheckmate_bs8_7GB.log,8472.28,11.15234375,8.274308204650879,5.579561948776245
DuckDuckGeesecheckmate_bs8_8GB.log,10158.63,11.888671875,10.031607627868652,5.3110432624816895
DuckDuckGeesecheckmate_bs8_9GB.log,9821.47,11.888671875,9.705327987670898,5.394506603479385
DuckDuckGeesecheckmate_bs8_10GB.log,11120.62,12.8828125,11.205910682678224,5.227969408035278
DuckDuckGeesecheckmate_bs8_11GB.log,11264.33,13.9375,11.345929622650146,5.356529593467712
DuckDuckGeesecheckmate_bs8_12GB.log,12264.15,14.6796875,12.556589126586914,5.048707664012909
DuckDuckGeesecheckmate_bs8_13GB.log,12895.93,14.71875,13.174776554107666,4.960633784532547
DuckDuckGeesecheckmate_bs8_14GB.log,12896.94,13.982421875,13.175765991210938,5.030486613512039
DuckDuckGeesecheckmate_bs8_15GB.log,13114.21,17.232421875,13.971769332885742,4.833401083946228
DuckDuckGeesecheckmate_bs8_16GB.log,13259.31,18.55859375,14.29846715927124,4.801845192909241
DuckDuckGeesecheckmate_bs8_17GB.log,13745.54,18.587890625,14.775288105010986,4.719939678907394
DuckDuckGeesecheckmate_bs8_18GB.log,14469.3,17.4921875,16.187026977539062,4.60249525308609
DuckDuckGeesecheckmate_bs8_19GB.log,15099.46,19.423828125,17.419644832611084,4.490685403347015
DuckDuckGeesecheckmate_bs8_20GB.log,15255.22,18.6875,17.200117588043213,4.4728564620018005
DuckDuckGeesecheckmate_bs8_21GB.log,15830.57,20.427734375,18.321120738983154,4.504831105470657
DuckDuckGeesecheckmate_bs8_22GB.log,16463.14,21.353515625,19.556331634521484,4.344335317611694
DuckDuckGeesecheckmate_bs8_23GB.log,16735.94,21.46875,20.08845376968384,4.287162840366364
DuckDuckGeesecheckmate_bs8_24GB.log,17216.92,22.771484375,21.03066349029541,4.187418550252914
,,,,
Algorithm: cricket_logs_monet,,,,
DuckDuckGeesemonet_bs8_4GB.log,,11.15234375,3.8658504486083984,
DuckDuckGeesemonet_bs8_5GB.log,,11.15234375,3.8658504486083984,
DuckDuckGeesemonet_bs8_6GB.log,,11.15234375,3.8658504486083984,
DuckDuckGeesemonet_bs8_7GB.log,,11.15234375,3.8658504486083984,
DuckDuckGeesemonet_bs8_8GB.log,,11.15234375,3.8658504486083984,
DuckDuckGeesemonet_bs8_9GB.log,9189.76,11.888671875,9.08454942703247,5.470034062862396
DuckDuckGeesemonet_bs8_10GB.log,11112.31,13.306640625,11.19773769378662,5.257230669260025
DuckDuckGeesemonet_bs8_11GB.log,11120.62,12.8828125,11.205910682678224,5.287873178720474
DuckDuckGeesemonet_bs8_12GB.log,11776.12,14.326171875,12.081904411315918,5.153470575809479
DuckDuckGeesemonet_bs8_13GB.log,12408.53,14.060546875,12.696515083312988,5.049758106470108
DuckDuckGeesemonet_bs8_14GB.log,12890.69,14.689453125,13.16863489151001,4.94347095489502
DuckDuckGeesemonet_bs8_15GB.log,13114.21,17.232421875,13.971769332885742,4.86017370223999
DuckDuckGeesemonet_bs8_16GB.log,13745.42,17.263671875,14.773569583892822,4.7615677416324615
DuckDuckGeesemonet_bs8_17GB.log,13745.54,18.587890625,14.775288105010986,4.675699800252914
DuckDuckGeesemonet_bs8_18GB.log,14378.26,17.4921875,16.008682250976562,4.617374271154404
DuckDuckGeesemonet_bs8_19GB.log,15099.46,19.423828125,17.419644832611084,4.488257169723511
DuckDuckGeesemonet_bs8_20GB.log,14624.05,17.974609375,15.9668231010437,4.616109400987625
DuckDuckGeesemonet_bs8_21GB.log,15737.65,19.806640625,18.14044713973999,4.410255640745163
DuckDuckGeesemonet_bs8_22GB.log,16584.1,21.35546875,19.79521751403809,4.38169264793396
DuckDuckGeesemonet_bs8_23GB.log,16463.14,21.353515625,19.556331634521484,4.363206148147583
DuckDuckGeesemonet_bs8_24GB.log,,11.15234375,3.8658504486083984,
,,,,
Algorithm: cricket_logs_mimose,,,,
DuckDuckGeesemimose_bs8_4GB.log,6003.53,11.15234375,5.861033916473389,5.7776864767074585
DuckDuckGeesemimose_bs8_5GB.log,6638.89,11.154296875,6.484217643737793,5.596333384513855
DuckDuckGeesemimose_bs8_6GB.log,7271.15,11.15234375,7.100232124328613,5.474437028169632
DuckDuckGeesemimose_bs8_7GB.log,7271.15,11.15234375,7.100232124328613,5.517322212457657
DuckDuckGeesemimose_bs8_8GB.log,7996.31,11.890625,8.025566577911377,5.498420715332031
DuckDuckGeesemimose_bs8_9GB.log,8750.1,12.638671875,9.498591899871826,5.3900929391384125
DuckDuckGeesemimose_bs8_10GB.log,8750.1,12.638671875,9.498591899871826,5.279841870069504
DuckDuckGeesemimose_bs8_11GB.log,11172.88,14.560546875,10.90997076034546,5.295729368925095
DuckDuckGeesemimose_bs8_12GB.log,12438.75,15.2109375,12.146519184112549,5.117548555135727
DuckDuckGeesemimose_bs8_13GB.log,12438.75,15.2109375,12.146519184112549,5.065377563238144
DuckDuckGeesemimose_bs8_14GB.log,13688.31,16.49609375,13.36784553527832,4.962009251117706
DuckDuckGeesemimose_bs8_15GB.log,13688.31,16.49609375,13.36784553527832,5.054353654384613
DuckDuckGeesemimose_bs8_16GB.log,15252.42,17.859375,14.892691612243652,4.896345674991608
DuckDuckGeesemimose_bs8_17GB.log,15252.42,17.859375,14.892691612243652,4.813984572887421
DuckDuckGeesemimose_bs8_18GB.log,16803.34,19.916015625,16.40806007385254,4.669247716665268
DuckDuckGeesemimose_bs8_19GB.log,16803.34,19.916015625,16.40806007385254,4.765573173761368
DuckDuckGeesemimose_bs8_20GB.log,18543.92,20.9921875,18.109519481658936,4.575796514749527
DuckDuckGeesemimose_bs8_21GB.log,18543.92,20.9921875,18.109519481658936,4.513662934303284
DuckDuckGeesemimose_bs8_22GB.log,20340.99,22.091796875,19.86456537246704,4.366199254989624
DuckDuckGeesemimose_bs8_23GB.log,20340.99,22.091796875,19.86456537246704,4.335415214300156
DuckDuckGeesemimose_bs8_24GB.log,,11.15234375,3.8658504486083984,
,,,,
Algorithm: cricket_logs_oursILP,,,,
DuckDuckGeeseoursILP_bs8_4GB.log,,11.15234375,3.8658504486083984,
DuckDuckGeeseoursILP_bs8_5GB.log,3958.63,11.15234375,3.8658504486083984,6.008077025413513
DuckDuckGeeseoursILP_bs8_6GB.log,4762.19,11.15234375,4.65057373046875,5.909407407045364
DuckDuckGeeseoursILP_bs8_7GB.log,5032.66,11.15234375,4.914705753326416,5.888198971748352
DuckDuckGeeseoursILP_bs8_8GB.log,5172.1,11.15234375,5.050881862640381,5.819353193044663
DuckDuckGeeseoursILP_bs8_9GB.log,6003.53,11.15234375,5.861033916473389,5.763922214508057
DuckDuckGeeseoursILP_bs8_10GB.log,6636.91,11.15234375,6.479913711547852,5.562857568264008
DuckDuckGeeseoursILP_bs8_11GB.log,7417.24,11.15234375,7.417086124420166,5.453091472387314
DuckDuckGeeseoursILP_bs8_12GB.log,7904.76,11.15234375,7.844160556793213,5.369902312755585
DuckDuckGeeseoursILP_bs8_13GB.log,7904.76,11.15234375,7.844160556793213,5.381124705076218
DuckDuckGeeseoursILP_bs8_14GB.log,9286.76,12.626953125,9.257349491119385,5.39481782913208
DuckDuckGeeseoursILP_bs8_15GB.log,10848.13,13.810546875,10.781573295593262,5.125135391950607
DuckDuckGeeseoursILP_bs8_16GB.log,12728.59,16.626953125,12.555619239807127,5.083121746778488
DuckDuckGeeseoursILP_bs8_17GB.log,12819.41,15.14453125,12.705622673034668,4.921721607446671
DuckDuckGeeseoursILP_bs8_18GB.log,13999.14,16.966796875,13.671729564666748,4.921086311340332
DuckDuckGeeseoursILP_bs8_19GB.log,14161.08,19.552734375,16.060696601867676,4.693227976560593
DuckDuckGeeseoursILP_bs8_20GB.log,14881.72,20.2890625,17.473354816436768,4.642844647169113
DuckDuckGeeseoursILP_bs8_21GB.log,15371.2,20.16015625,17.949053287506104,4.4908261597156525
DuckDuckGeeseoursILP_bs8_22GB.log,15637.85,20.869140625,18.88776683807373,4.466550350189209
DuckDuckGeeseoursILP_bs8_23GB.log,16364.8,22.1171875,20.1293044090271,4.305540293455124
DuckDuckGeeseoursILP_bs8_24GB.log,16763.92,22.0625,20.146528244018555,4.279196321964264
,,,,
