文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),策略后平均 epoch 时间 (s)
Cricket0.5GB.log,,1.029296875,
Cricket1GB.log,853.88,1.033203125,3.0431803464889526
Cricket1.5GB.log,1106.41,1.6953125,2.722621500492096
Cricket2GB.log,1300.41,1.810546875,2.5563724637031555
Cricket2.5GB.log,1798.81,1.994140625,2.646273046731949
Cricket3GB.log,1798.81,1.994140625,2.4117361903190613
DuckDuckGeese10GB.log,11134.44,13.4375,5.858150810003281
DuckDuckGeese12GB.log,11799.48,14.46484375,5.85935041308403
DuckDuckGeese14GB.log,12431.0,15.205078125,5.601136893033981
DuckDuckGeese16GB.log,13135.81,15.80078125,5.533042669296265
DuckDuckGeese18GB.log,14400.92,17.982421875,5.24395415186882
DuckDuckGeese20GB.log,14643.75,17.134765625,5.3243337869644165
DuckDuckGeese22GB.log,15851.06,19.818359375,5.095368146896362
DuckDuckGeese24GB.log,,11.17578125,
MotorImagery10GB.log,,15.2421875,
MotorImagery12GB.log,12318.1,18.4609375,126.61695319414139
MotorImagery14GB.log,13830.72,18.462890625,120.8920471072197
MotorImagery16GB.log,14129.12,19.505859375,118.50921142101288
MotorImagery18GB.log,14147.29,21.357421875,117.78570002317429
MotorImagery20GB.log,15198.5,21.892578125,114.67730581760406
MotorImagery22GB.log,15782.91,20.427734375,112.56249859929085
MotorImagery24GB.log,17563.25,23.09765625,107.3578690290451
PEMS-SF1GB.log,,2.0546875,
PEMS-SF2GB.log,2267.94,2.755859375,12.98482283949852
PEMS-SF3GB.log,3229.02,3.625,12.056953221559525
PEMS-SF4GB.log,3560.76,4.830078125,11.945029139518738
PEMS-SF5GB.log,5036.82,5.814453125,10.48340567946434
PEMS-SF6GB.log,5036.82,5.814453125,10.713311851024628




Cricket0.5GB.log,,1.029296875,
Cricket1GB.log,875.64,1.033203125,3.3351254165172577
Cricket1.5GB.log,1050.74,1.630859375,3.100100100040436
Cricket2GB.log,1313.36,1.875,2.6440690457820892
Cricket2.5GB.log,1798.81,1.994140625,2.6139567494392395
Cricket3GB.log,1798.81,1.994140625,2.745221793651581
DuckDuckGeese10GB.log,11140.41,13.4375,5.906474858522415
DuckDuckGeese12GB.log,12286.98,14.45703125,5.751204282045364
DuckDuckGeese14GB.log,12918.04,15.833984375,5.6507450342178345
DuckDuckGeese16GB.log,13279.39,17.125,5.599589854478836
DuckDuckGeese18GB.log,14490.35,17.982421875,5.415148019790649
DuckDuckGeese20GB.log,15276.81,18.662109375,5.220198273658752
DuckDuckGeese22GB.log,16483.03,21.16015625,5.016389966011047
DuckDuckGeese24GB.log,17237.24,22.58984375,5.005942404270172
MotorImagery10GB.log,11189.37,17.390625,128.771555185318
MotorImagery12GB.log,13163.19,18.4609375,123.91329166293144
MotorImagery14GB.log,13275.47,17.388671875,122.78535202145576
MotorImagery16GB.log,14129.12,19.505859375,119.1329043507576
MotorImagery18GB.log,15224.54,21.375,118.78532665967941
MotorImagery20GB.log,15665.22,22.794921875,114.48003962635994
MotorImagery22GB.log,15782.91,20.427734375,111.74299117922783
MotorImagery24GB.log,16719.55,21.80859375,108.79492765665054
PEMS-SF1GB.log,,2.0546875,
PEMS-SF2GB.log,2457.83,3.015625,13.419141262769699
PEMS-SF3GB.log,3116.36,3.828125,12.352713942527771
PEMS-SF4GB.log,3433.02,4.53125,11.925169259309769
PEMS-SF5GB.log,4014.8,5.7578125,10.872217565774918
PEMS-SF6GB.log,5036.82,5.814453125,11.34133118391037




Cricket0.5GB.log,414.14,1.03125,3.362565964460373
Cricket1GB.log,879.38,1.033203125,3.2556703984737396
Cricket1.5GB.log,1086.44,1.435546875,2.8665794730186462
Cricket2GB.log,1086.44,1.435546875,2.7969971001148224
Cricket2.5GB.log,1086.44,1.435546875,2.845131665468216
Cricket3GB.log,1086.44,1.435546875,2.952542006969452
DuckDuckGeese10GB.log,8148.18,12.66015625,5.989859223365784
DuckDuckGeese12GB.log,8547.08,11.912109375,5.92531430721283
DuckDuckGeese14GB.log,11886.08,18.04296875,5.5049086809158325
DuckDuckGeese16GB.log,11613.58,16.52734375,5.569592177867889
DuckDuckGeese18GB.log,11613.58,16.52734375,5.496051549911499
DuckDuckGeese20GB.log,11613.58,16.52734375,5.545836806297302
DuckDuckGeese22GB.log,11613.58,16.52734375,5.485030561685562
DuckDuckGeese24GB.log,11613.58,16.52734375,5.521927744150162
MotorImagery10GB.log,9002.51,16.31640625,130.8112914264202
MotorImagery12GB.log,10665.66,17.390625,124.1643336713314
MotorImagery14GB.log,13039.94,18.462890625,118.74962902069092
MotorImagery16GB.log,13339.66,19.505859375,119.08523553609848
MotorImagery18GB.log,14309.16,20.58203125,116.5114726126194
MotorImagery20GB.log,16501.82,23.322265625,110.59694775938988
MotorImagery22GB.log,16501.82,23.322265625,109.93127074837685
MotorImagery24GB.log,16501.82,23.322265625,111.78376549482346
PEMS-SF1GB.log,1043.85,2.0546875,13.64579102396965
PEMS-SF2GB.log,1619.06,2.6640625,13.13154223561287
PEMS-SF3GB.log,3077.16,4.189453125,11.516026139259338
PEMS-SF4GB.log,3077.16,4.189453125,11.682352721691132
PEMS-SF5GB.log,3077.16,4.189453125,11.68380719423294
PEMS-SF6GB.log,3077.16,4.189453125,11.65371236205101



Cricket0.5GB.log,528.82,1.03125,3.2503664195537567
Cricket1GB.log,986.86,1.341796875,3.158971667289734
Cricket1.5GB.log,1546.37,1.8046875,2.926356077194214
Cricket2GB.log,1796.95,2.2421875,2.5457801818847656
Cricket2.5GB.log,1796.95,2.2421875,2.480744868516922
